"SU","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
336,"3_1",3,1,9.05256,10.3632,6.91896,0.903133333,47.62701556,-122.3912893,"2022_9_29_10-12-09_56.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,60,0,5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
337,"3_1",3,1,5.76072,10.3632,6.91896,1.0662,47.62714265,-122.3919011,"2022_9_29_10-12-09_560.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,11,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,39,0,1,0,0,3,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0
338,"3_1",3,1,5.97408,10.3632,6.91896,1.843466667,47.62713271,-122.3919083,"2022_9_29_10-12-09_568.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,2,0,0,1,19,0,0,0,0,0,0,17,0,0,0,1,0,0,1,0,0,29,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
339,"3_1",3,1,6.49224,10.3632,6.91896,1.522066667,47.62712426,-122.391917,"2022_9_29_10-12-09_576.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,8,0,5,0,0,5,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0
340,"3_1",3,1,6.49224,10.3632,6.91896,1.6061875,47.62711827,-122.3919302,"2022_9_29_10-12-09_584.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,26,0,23,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
341,"3_1",3,1,6.43128,10.3632,6.91896,1.7560625,47.6271165,-122.3919365,"2022_9_29_10-12-09_592.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,4,0,0,0,0,10,0,0,0,0,0,0,14,0,1,0,3,0,2,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,1,0,8,1,0,0
342,"3_1",3,1,6.61416,10.3632,6.91896,1.156133333,47.62711333,-122.3919483,"2022_9_29_10-12-09_600.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,17,0,0,0,2,0,1,1,2,0,1,0,1,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0
343,"3_1",3,1,6.67512,10.3632,6.91896,1.247933333,47.62710265,-122.3919586,"2022_9_29_10-12-09_608.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,4,0,8,0,8,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
344,"3_1",3,1,6.7056,10.3632,6.91896,2.395666667,47.62709904,-122.3919681,"2022_9_29_10-12-09_616.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,6,10,0,0,13,0,3,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
345,"3_1",3,1,7.52856,10.3632,6.91896,2.240857143,47.62709828,-122.3919769,"2022_9_29_10-12-09_624.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,6,10,0,0,5,0,6,0,0,0,5,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0
346,"3_1",3,1,8.04672,10.3632,6.91896,1.514266667,47.62709831,-122.391987,"2022_9_29_10-12-09_632.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,25,0,1,0,1,0,2,2,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
347,"3_1",3,1,9.05256,10.3632,6.91896,0.7871875,47.62702209,-122.3913021,"2022_9_29_10-12-09_64.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0
348,"3_1",3,1,8.01624,10.3632,6.91896,1.5678,47.62709844,-122.3919977,"2022_9_29_10-12-09_640.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,17,0,37,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,"3_1",3,1,8.01624,10.3632,6.91896,1.332866667,47.62710001,-122.3920106,"2022_9_29_10-12-09_648.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
350,"3_1",3,1,7.9248,10.3632,6.91896,1.266533333,47.62710274,-122.3920236,"2022_9_29_10-12-09_656.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,40,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"3_1",3,1,7.62,10.3632,6.91896,1.203,47.62710498,-122.3920361,"2022_9_29_10-12-09_664.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
352,"3_1",3,1,7.40664,10.3632,6.91896,1.0786,47.62710447,-122.3920479,"2022_9_29_10-12-09_672.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
353,"3_1",3,1,7.80288,10.3632,6.91896,1.659733333,47.62710336,-122.3920585,"2022_9_29_10-12-09_680.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
354,"3_1",3,1,7.83336,10.3632,6.91896,1.463466667,47.62710198,-122.392068,"2022_9_29_10-12-09_688.jpg",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,20,3,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,10,1,0,1,0,0,0
355,"3_1",3,1,7.83336,10.3632,6.91896,1.5212,47.6271009,-122.3920796,"2022_9_29_10-12-09_696.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
356,"3_1",3,1,8.10768,10.3632,6.91896,1.280533333,47.62710493,-122.392091,"2022_9_29_10-12-09_704.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,29,1,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
357,"3_1",3,1,7.9248,10.3632,6.91896,4.356,47.62711283,-122.3920979,"2022_9_29_10-12-09_712.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,0,1,0,0,0,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
358,"3_1",3,1,8.8392,10.3632,6.91896,0.808466667,47.62703,-122.3913173,"2022_9_29_10-12-09_72.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,73,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
359,"3_1",3,1,7.80288,10.3632,6.91896,1.393066667,47.6271097,-122.3921066,"2022_9_29_10-12-09_720.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,44,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,"3_1",3,1,7.71144,10.3632,6.91896,1.2376,47.62711385,-122.3920999,"2022_9_29_10-12-09_728.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,"3_1",3,1,7.71144,10.3632,6.91896,1.7806875,47.62712135,-122.3921047,"2022_9_29_10-12-09_736.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
362,"3_1",3,1,7.68096,10.3632,6.91896,1.655866667,47.62712197,-122.392097,"2022_9_29_10-12-09_744.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,"3_1",3,1,9.4488,10.3632,6.91896,1.2476,47.62698498,-122.3912297,"2022_9_29_10-12-09_8.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,65,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
364,"3_1",3,1,8.382,10.3632,6.91896,1.004466667,47.62703365,-122.3913244,"2022_9_29_10-12-09_80.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,"3_1",3,1,8.32104,10.3632,6.91896,0.988533333,47.62703975,-122.3913363,"2022_9_29_10-12-09_88.jpg",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"3_1",3,1,7.74192,10.3632,6.91896,1.178375,47.62704494,-122.3913461,"2022_9_29_10-12-09_96.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,48,0,3,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
367,"3_2",3,2,11.24712,10.3632,3.99288,1.1985,NA,NA,"2022_9_29_10-35-25_0.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,4,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,"3_2",3,2,9.54024,10.3632,3.99288,1.275733333,NA,NA,"2022_9_29_10-35-25_104.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
369,"3_2",3,2,9.47928,10.3632,3.99288,1.1902,NA,NA,"2022_9_29_10-35-25_112.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"3_2",3,2,9.38784,10.3632,3.99288,0.9418125,NA,NA,"2022_9_29_10-35-25_120.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,"3_2",3,2,8.93064,10.3632,3.99288,1.180066667,NA,NA,"2022_9_29_10-35-25_128.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,8,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,"3_2",3,2,8.80872,10.3632,3.99288,1.2292,NA,NA,"2022_9_29_10-35-25_136.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,"3_2",3,2,8.90016,10.3632,3.99288,1.3038,NA,NA,"2022_9_29_10-35-25_144.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,"3_2",3,2,8.59536,10.3632,3.99288,1.434666667,NA,NA,"2022_9_29_10-35-25_152.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,"3_2",3,2,10.9728,10.3632,3.99288,1.285571429,NA,NA,"2022_9_29_10-35-25_16.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
376,"3_2",3,2,8.19912,10.3632,3.99288,1.297133333,NA,NA,"2022_9_29_10-35-25_160.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,2,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
377,"3_2",3,2,7.95528,10.3632,3.99288,1.168533333,NA,NA,"2022_9_29_10-35-25_168.jpg",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,0,2,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0
378,"3_2",3,2,8.80872,10.3632,3.99288,0.980466667,NA,NA,"2022_9_29_10-35-25_176.jpg",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,14,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,"3_2",3,2,8.59536,10.3632,3.99288,0.986,NA,NA,"2022_9_29_10-35-25_184.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,"3_2",3,2,8.26008,10.3632,3.99288,1.076866667,NA,NA,"2022_9_29_10-35-25_192.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,"3_2",3,2,8.29056,10.3632,3.99288,1.168133333,NA,NA,"2022_9_29_10-35-25_200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,8,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,"3_2",3,2,8.80872,10.3632,3.99288,1.3672,NA,NA,"2022_9_29_10-35-25_208.jpg",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
383,"3_2",3,2,9.35736,10.3632,3.99288,1.191733333,NA,NA,"2022_9_29_10-35-25_216.jpg",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
384,"3_2",3,2,8.86968,10.3632,3.99288,1.2568,NA,NA,"2022_9_29_10-35-25_224.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,44,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,"3_2",3,2,8.93064,10.3632,3.99288,1.4728125,NA,NA,"2022_9_29_10-35-25_232.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,46,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
386,"3_2",3,2,11.21664,10.3632,3.99288,1.0725,NA,NA,"2022_9_29_10-35-25_24.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0
387,"3_2",3,2,9.26592,10.3632,3.99288,0.9914,NA,NA,"2022_9_29_10-35-25_240.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,"3_2",3,2,9.20496,10.3632,3.99288,1.120066667,NA,NA,"2022_9_29_10-35-25_248.jpg",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
389,"3_2",3,2,9.20496,10.3632,3.99288,1.1742,NA,NA,"2022_9_29_10-35-25_256.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
390,"3_2",3,2,9.38784,10.3632,3.99288,0.974285714,NA,NA,"2022_9_29_10-35-25_264.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
391,"3_2",3,2,9.02208,10.3632,3.99288,1.206733333,NA,NA,"2022_9_29_10-35-25_272.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,2,0,8,0,0,0
392,"3_2",3,2,9.08304,10.3632,3.99288,1.1796,NA,NA,"2022_9_29_10-35-25_280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,2,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
393,"3_2",3,2,9.08304,10.3632,3.99288,1.069533333,NA,NA,"2022_9_29_10-35-25_288.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,14,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
394,"3_2",3,2,9.23544,10.3632,3.99288,0.919266667,NA,NA,"2022_9_29_10-35-25_296.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,6,0,0,12,0,0,0,0,0,0,0,20,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
395,"3_2",3,2,9.26592,10.3632,3.99288,0.910933333,NA,NA,"2022_9_29_10-35-25_304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,12,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
396,"3_2",3,2,8.77824,10.3632,3.99288,1.173266667,NA,NA,"2022_9_29_10-35-25_312.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,8,0,0,0,0,0,0,0,12,0,0,0,4,0,4,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
397,"3_2",3,2,11.00328,10.3632,3.99288,1.038866667,NA,NA,"2022_9_29_10-35-25_32.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,12,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
398,"3_2",3,2,9.20496,10.3632,3.99288,1.0668,NA,NA,"2022_9_29_10-35-25_320.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,4,0,0,2,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0
399,"3_2",3,2,9.38784,10.3632,3.99288,1.825266667,NA,NA,"2022_9_29_10-35-25_328.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
400,"3_2",3,2,9.11352,10.3632,3.99288,1.1232,NA,NA,"2022_9_29_10-35-25_336.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,"3_2",3,2,9.08304,10.3632,3.99288,0.9615625,NA,NA,"2022_9_29_10-35-25_344.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,14,0,0,0,10,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
402,"3_2",3,2,8.74776,10.3632,3.99288,1.2258,NA,NA,"2022_9_29_10-35-25_352.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,6,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
